value,label,result,message
TN,ham,ham,That depends. How would you like to be treated? :)
TN,ham,ham,"Right on brah, see you later"
TN,ham,ham,Waiting in e car 4 my mum lor. U leh? Reach home already?
TP,spam,spam,Your 2004 account for 07XXXXXXXXX shows 786 unredeemed points. To claim call 08719181259 Identifier code: XXXXX Expires 26.03.05
TP,spam,spam,Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow
TN,ham,ham,Went fast asleep dear.take care.
TN,ham,ham,No that just means you have a fat head
TN,ham,ham,Sounds like a plan! Cardiff is still here and still cold! I'm sitting on the radiator!
TN,ham,ham,Serious? What like proper tongued her
TN,ham,ham,She.s good. She was wondering if you wont say hi but she.s smiling now. So how are you coping with the long distance
TN,ham,ham,How i noe... She's in da car now... Later then c lar... I'm wearing shorts...
TP,spam,spam,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!
TN,ham,ham,Yeah whatever lol
TN,ham,ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
TN,ham,ham,Ard 530 lor. I ok then message �_ lor.
TN,ham,ham,Ok. C u then.
TN,ham,ham,Eh ur laptop got no stock lei... He say mon muz come again to take a look c got a not...
TN,ham,ham,No need to ke qi... �� too bored izzit y suddenly thk of this...
TN,ham,ham,I wish! I don't think its gonna snow that much. But it will be more than those flurries we usually get that melt before they hit the ground. Eek! We haven't had snow since &lt;#&gt; before I was even born!
TP,spam,spam,FREE>Ringtone! Reply REAL or POLY eg REAL1 1. PushButton 2. DontCha 3. BabyGoodbye 4. GoldDigger 5. WeBeBurnin 1st tone FREE and 6 more when u join for �3/wk
TN,ham,ham,"Do 1 thing! Change that sentence into: \Because i want 2 concentrate in my educational career im leaving here..\"""""
TN,ham,ham,"Oh really? perform, write a paper, go to a movie AND be home by midnight, huh?"
TN,ham,ham,Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?
TN,ham,ham,How? Izzit still raining?
TN,ham,ham,As if i wasn't having enough trouble sleeping.
TN,ham,ham,I havent add �_ yet right..
TN,ham,ham,Lol ... I really need to remember to eat when I'm drinking but I do appreciate you keeping me company that night babe *smiles*
TN,ham,ham,Babe ? I lost you ... Will you try rebooting ?
TN,ham,ham,Yes. Nigh you cant aha.
TN,ham,ham,I thk �_ gotta go home by urself. Cos i'll b going out shopping 4 my frens present.
TN,ham,ham,Nooooooo I'm gonna be bored to death all day. Cable and internet outage.
TN,ham,ham,Sos! Any amount i can get pls.
TN,ham,ham,"Playin space poker, u?"
TN,ham,ham,How come guoyang go n tell her? Then u told her?
TN,ham,ham,You need to get up. Now.
TN,ham,ham,They r giving a second chance to rahul dengra.
TN,ham,ham,"Yeah, in fact he just asked if we needed anything like an hour ago. When and how much?"
TN,ham,ham,WHEN THE FIRST STRIKE IS A RED ONE. THE BIRD + ANTELOPE BEGIN TOPLAY IN THE FIELDOF SELFINDEPENDENCE BELIEVE THIS + THE FLOWER OF CONTENTION WILL GROW.RANDOM!
TN,ham,ham,Y �_ wan to go there? C doctor?
TN,ham,ham,Does daddy have a bb now.
TP,spam,spam,"Free Msg: get Gnarls Barkleys \Crazy\"" ringtone TOTALLY FREE just reply GO to this message right now!"""
TN,ham,ham,She's borderline but yeah whatever.
TN,ham,ham,I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon
TN,ham,ham,"Until 545 lor... Ya, can go 4 dinner together..."
TN,ham,ham,I will be gentle princess! We will make sweet gentle love...
TN,ham,ham,How u doin baby girl ?? hope u are okay every time I call ure phone is off! I miss u get in touch
TN,ham,ham,"Sorry, went to bed early, nightnight"
TN,ham,ham,I like to think there's always the possibility of being in a pub later.
TN,ham,ham,HMM yeah if your not too grooved out! And im looking forward to my pound special :)
TN,ham,ham,I got to video tape pple type in message lor. U so free wan 2 help me? Hee... Cos i noe u wan 2 watch infernal affairs so ask u along. Asking shuhui oso.
TN,ham,ham,Hi dude hw r u da realy mising u today
TN,ham,ham,Me hungry buy some food good lei... But mum n yun dun wan juz buy a little bit...
TP,spam,spam,Refused a loan? Secured or Unsecured? Can't get credit? Call free now 0800 195 6669 or text back 'help' & we will!
TN,ham,ham,I probably won't eat at all today. I think I'm gonna pop. How was your weekend? Did u miss me?
TN,ham,ham,I knew it... U slept v late yest? Wake up so late...
TN,ham,ham,Haha... dont be angry with yourself... Take it as a practice for the real thing. =)
TN,ham,ham,Where is that one day training:-)
TN,ham,ham,So i could kiss and feel you next to me...
TN,ham,ham,Have a nice day my dear.
TN,ham,ham,I sent lanre fakeye's Eckankar details to the mail box
TN,ham,ham,Your dad is back in ph?
TP,spam,spam,"You have been specially selected to receive a \3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo"""
TN,ham,ham,If you ask her or she say any please message.
TN,ham,ham,"If e timing can, then i go w u lor..."
TN,ham,ham,Love you aathi..love u lot..
TN,ham,ham,I was just callin to say hi. Take care bruv!
TP,spam,spam,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a �150 prize. To collect is easy. Just call 09061743386
TN,ham,ham,Did u turn on the heater? The heater was on and set to &lt;#&gt; degrees.
TN,ham,ham,Thanks for your message. I really appreciate your sacrifice. I'm not sure of the process of direct pay but will find out on my way back from the test tomorrow. I'm in class now. Do have a wonderful day.
TN,ham,ham,"That's the trouble with classes that go well - you're due a dodgey one ��_ Expecting mine tomo! See you for recovery, same time, same place "
TP,spam,spam,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674&
TN,ham,ham,WOT U UP 2 J?
TN,ham,ham,"Night night, see you tomorrow"
TN,ham,ham,Roger that. We���re probably going to rem in about 20
